air_id,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
1,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-03-03 15:00:00,26.088131,87.938403,CO,17,22,21
2,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,NO2,8,10,9
3,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,SO2,3,3,3
4,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,CO,36,46,40
5,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,OZONE,3,5,4
6,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,PM2.5,35,113,67
7,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,SO2,7,119,72
8,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,CO,12,45,37
9,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,OZONE,9,11,10
10,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.11442,85.39813,SO2,5,41,13
11,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.11442,85.39813,OZONE,12,99,54
12,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,NH3,1,1,1
13,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,SO2,13,17,14
14,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,CO,36,52,39
15,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,OZONE,10,54,36
16,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-03-03 15:00:00,17.72,83.3,SO2,7,105,35
17,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-03-03 15:00:00,27.103358,93.679645,SO2,9,10,10
18,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-03-03 15:00:00,26.071318,91.87488,NH3,4,4,4
