air_id,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_level
1,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-03-03 15:00:00,26.088131,87.938403,CO,17.0,22.0,21.0,Low
2,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,NO2,8.0,10.0,9.0,Low
3,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,SO2,3.0,3.0,3.0,Low
4,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,CO,36.0,46.0,40.0,Low
5,India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-03-03 15:00:00,26.63086,84.90051,OZONE,3.0,5.0,4.0,Low
6,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,PM2.5,35.0,113.0,67.0,Moderate
7,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,SO2,7.0,119.0,72.0,Moderate
8,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,CO,12.0,45.0,37.0,Low
9,India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-03-03 15:00:00,25.376776,86.471523,OZONE,9.0,11.0,10.0,Low
10,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.11442,85.39813,SO2,5.0,41.0,13.0,Low
11,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.11442,85.39813,OZONE,12.0,99.0,54.0,Moderate
12,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,NH3,1.0,1.0,1.0,Low
13,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,SO2,13.0,17.0,14.0,Low
14,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,CO,36.0,52.0,39.0,Low
15,India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.140335,85.365019,OZONE,10.0,54.0,36.0,Low
16,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-03-03 15:00:00,17.72,83.3,SO2,7.0,105.0,35.0,Low
17,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-03-03 15:00:00,27.103358,93.679645,SO2,9.0,10.0,10.0,Low
18,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-03-03 15:00:00,26.071318,91.87488,NH3,4.0,4.0,4.0,Low
19,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-03-03 15:00:00,26.071318,91.87488,OZONE,12.0,54.0,29.0,Low
20,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,PM2.5,89.0,125.0,106.0,High
21,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,NO2,8.0,29.0,17.0,Low
22,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,NH3,4.0,6.0,5.0,Low
23,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,CO,16.0,129.0,90.0,Moderate
24,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-03-03 15:00:00,26.1875,91.744194,CO,12.0,28.0,20.0,Low
25,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-03-03 15:00:00,26.1875,91.744194,OZONE,15.0,25.0,19.0,Low
26,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-03-03 15:00:00,26.181742,91.78063,NO2,,,,Unknown
27,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,PM2.5,50.0,73.0,60.0,Moderate
28,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,PM10,65.0,105.0,82.0,Moderate
29,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,NO2,20.0,26.0,21.0,Low
30,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,SO2,13.0,17.0,16.0,Low
31,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-03-03 15:00:00,16.987287,81.736318,SO2,7.0,34.0,16.0,Low
