traffic_id,timestamp,day,hour,weather,area_type,traffic_density,car_count,bike_count,truck_count,signal_waiting_time_seconds,traffic_load,date
1,2025-09-26 17:03:00,Friday,17,Foggy,Industrial,Medium,32,46,9,37,87,2025-09-26
2,2025-01-02 01:33:00,Thursday,1,Foggy,Residential,Low,18,17,5,5,40,2025-01-02
3,2025-09-03 04:37:00,Wednesday,4,Clear,School Zone,Low,7,27,5,10,39,2025-09-03
4,2025-11-18 01:30:00,Tuesday,1,Rainy,Commercial,Medium,34,49,13,46,96,2025-11-18
5,2025-01-15 06:04:00,Wednesday,6,Foggy,Industrial,Low,5,18,5,16,28,2025-01-15
6,2025-03-13 16:03:00,Thursday,16,Stormy,School Zone,Low,9,11,2,20,22,2025-03-13
7,2025-01-27 22:02:00,Monday,22,Cloudy,School Zone,Low,13,11,1,18,25,2025-01-27
8,2025-12-26 08:00:00,Friday,8,Cloudy,Industrial,High,63,99,24,98,186,2025-12-26
9,2025-03-18 13:56:00,Tuesday,13,Rainy,Highway,Medium,49,54,11,35,114,2025-03-18
10,2025-10-10 19:27:00,Friday,19,Clear,Residential,Medium,30,48,14,36,92,2025-10-10
11,2025-07-09 01:51:00,Wednesday,1,Clear,Highway,Medium,22,40,7,40,69,2025-07-09
12,2025-09-13 06:36:00,Saturday,6,Stormy,School Zone,Low,12,29,1,16,42,2025-09-13
13,2025-12-15 14:11:00,Monday,14,Stormy,Industrial,Medium,37,32,12,58,81,2025-12-15
14,2025-11-27 23:21:00,Thursday,23,Stormy,Residential,Low,16,10,3,16,29,2025-11-27
15,2025-02-13 01:58:00,Thursday,1,Stormy,School Zone,Low,12,14,0,17,26,2025-02-13
16,2025-09-29 22:46:00,Monday,22,Stormy,Residential,Low,15,13,0,16,28,2025-09-29
17,2025-04-12 23:08:00,Saturday,23,Rainy,Highway,Low,5,16,4,20,25,2025-04-12
18,2025-03-11 12:48:00,Tuesday,12,Rainy,Industrial,Low,20,21,2,12,43,2025-03-11
19,2025-09-09 02:24:00,Tuesday,2,Clear,Highway,Low,14,24,0,15,38,2025-09-09
20,2025-10-25 00:29:00,Saturday,0,Rainy,Commercial,Low,9,19,5,18,33,2025-10-25
21,2025-04-04 03:17:00,Friday,3,Clear,Residential,Low,18,24,4,6,46,2025-04-04
22,2025-11-17 10:51:00,Monday,10,Stormy,School Zone,High,101,114,15,104,230,2025-11-17
23,2025-06-12 06:28:00,Thursday,6,Foggy,Residential,Low,13,27,2,18,42,2025-06-12
24,2025-07-13 10:12:00,Sunday,10,Foggy,Commercial,High,85,112,27,120,224,2025-07-13
25,2025-11-14 23:23:00,Friday,23,Clear,School Zone,Medium,26,52,13,33,91,2025-11-14
26,2025-02-11 17:35:00,Tuesday,17,Rainy,Commercial,High,113,122,30,164,265,2025-02-11
27,2025-03-01 16:51:00,Saturday,16,Cloudy,School Zone,Medium,30,52,7,29,89,2025-03-01
